803, 230.5
804, 225
805, 0
806, 0
807, 228
808, 228
809, 236.6
810, 231.5
811, 237.1
812, 233.5
813, 238.5
814, 235.75
815, 236.9
816, 232.5
817, 235
818, 235
819, 237.5
820, 230.5
821, 239.5
822, 236.25
823, 237.25
824, 234
825, 236.8
826, 232
827, 236.75
828, 225
829, 235.5
